age,Qx_Male ,Number_Males_Alive,Pb_Male,Number_Females_Alive,Pb_Female
0,0.01,100000,0,100000,0.000000000
1,0,99364,0.00636,99467,0.005330000
2,0,99321,0.00043,99431,0.000360000
3,0,99292,0.00029,99407,0.000240000
4,0,99269,0.00023,99390,0.000170000
5,0,99252,0.00017,99375,0.000150000
6,0,99237,0.00015,99361,0.000140000
7,0,99222,0.00015,99349,0.000120000
8,0,99209,0.00013,99338,0.000110000
9,0,99197,0.00012,99328,0.000100000
10,0,99187,0.0001,99319,0.000090000
11,0,99178,0.00009,99310,0.000090000
12,0,99169,0.00009,99300,0.000100000
13,0,99156,0.00013,99289,0.000110000
14,0,99135,0.00021,99275,0.000140000
15,0,99103,0.00032,99258,0.000170000
16,0,99060,0.00043,99236,0.000220000
17,0,99004,0.00056,99211,0.000250000
18,0,98934,0.0007,99181,0.000300000
19,0,98850,0.00084,99147,0.000340000
20,0,98751,0.00099,99109,0.000380000
21,0,98635,0.00116,99067,0.000420000
22,0,98504,0.00131,99021,0.000460000
23,0,98360,0.00144,98971,0.000500000
24,0,98210,0.0015,98918,0.000530000
25,0,98055,0.00155,98861,0.000570000
26,0,97898,0.00157,98802,0.000590000
27,0,97738,0.0016,98740,0.000620000
28,0,97575,0.00163,98674,0.000660000
29,0,97408,0.00167,98605,0.000690000
30,0,97238,0.0017,98530,0.000750000
31,0,97063,0.00175,98451,0.000790000
32,0,96885,0.00178,98367,0.000840000
33,0,96703,0.00182,98278,0.000890000
34,0,96516,0.00187,98184,0.000940000
35,0,96325,0.00191,98085,0.000990000
36,0,96127,0.00198,97980,0.001050000
37,0,95923,0.00204,97869,0.001110000
38,0,95712,0.00211,97752,0.001170000
39,0,95495,0.00217,97628,0.001240000
40,0,95272,0.00223,97499,0.001290000
41,0,95042,0.0023,97362,0.001370000
42,0,94801,0.00241,97217,0.001450000
43,0,94549,0.00252,97061,0.001560000
44,0,94282,0.00267,96894,0.001670000
45,0,93998,0.00284,96713,0.001810000
46,0,93694,0.00304,96516,0.001970000
47,0,93369,0.00325,96303,0.002130000
48,0,93016,0.00353,96070,0.002330000
49,0,92631,0.00385,95815,0.002550000
50,0.01,92209,0.00422,95536,0.002790000
51,0.01,91747,0.00462,95231,0.003050000
52,0.01,91243,0.00504,94899,0.003320000
53,0.01,90694,0.00549,94538,0.003610000
54,0.01,90098,0.00596,94148,0.003900000
55,0.01,89452,0.00646,93728,0.004200000
56,0.01,88754,0.00698,93275,0.004530000
57,0.01,88001,0.00753,92788,0.004870000
58,0.01,87193,0.00808,92267,0.005210000
59,0.01,86329,0.00864,91714,0.005530000
60,0.01,85407,0.00922,91127,0.005870000
61,0.01,84422,0.00985,90503,0.006240000
62,0.01,83372,0.0105,89837,0.006660000
63,0.01,82263,0.01109,89128,0.007090000
64,0.01,81102,0.01161,88375,0.007530000
65,0.02,79893,0.01209,87574,0.008010000
66,0.02,78630,0.01263,86719,0.008550000
67,0.02,77303,0.01327,85801,0.009180000
68,0.02,75904,0.01399,84811,0.009900000
69,0.02,74421,0.01483,83739,0.010720000
70,0.02,72843,0.01578,82573,0.011660000
71,0.03,71158,0.01685,81301,0.012720000
72,0.03,69360,0.01798,79911,0.013900000
73,0.03,67447,0.01913,78404,0.015070000
74,0.03,65419,0.02028,76781,0.016230000
75,0.04,63274,0.02145,75038,0.017430000
76,0.04,60998,0.02276,73159,0.018790000
77,0.04,58583,0.02415,71128,0.020310000
78,0.05,56034,0.02549,68936,0.021920000
79,0.05,53360,0.02674,66576,0.023600000
80,0.06,50567,0.02793,64042,0.025340000
81,0.06,47648,0.02919,61318,0.027240000
82,0.07,44604,0.03044,58395,0.029230000
83,0.08,41447,0.03157,55284,0.031110000
84,0.09,38196,0.03251,52001,0.032830000
85,0.1,34873,0.03323,48562,0.034390000
86,0.11,31504,0.03369,44980,0.035820000
87,0.12,28121,0.03383,41271,0.037090000
88,0.13,24762,0.03359,37459,0.038120000
89,0.15,21472,0.0329,33580,0.038790000
90,0.16,18303,0.03169,29685,0.038950000
91,0.18,15307,0.02996,25835,0.038500000
92,0.2,12535,0.02772,22098,0.037370000
93,0.22,10030,0.02505,18546,0.035520000
94,0.24,7826,0.02204,15245,0.033010000
95,0.26,5941,0.01885,12253,0.029920000
96,0.28,4385,0.01556,9622,0.026310000
97,0.3,3147,0.01238,7378,0.022440000
98,0.32,2198,0.00949,5525,0.018530000
99,0.34,1496,0.00702,4042,0.014830000
100,0.35,994,0.00502,2892,0.011500000
101,0.37,644,0.0035,2020,0.008720000
102,0.39,406,0.00238,1374,0.006460000
103,0.41,248,0.00158,909,0.004650000
104,0.43,147,0.00101,582,0.003270000
105,0.45,84,0.00063,361,0.002210000
106,0.47,46,0.00038,215,0.001460000
107,0.5,24,0.00022,123,0.000920000
108,0.52,12,0.00012,67,0.000560000
109,0.55,6,0.00006,35,0.000320000
110,0.57,3,0.00003,17,0.000180000
111,0.6,1,0.00002,8,0.000090000
112,0.63,0,0.00001,3,0.000050000
113,0.66,0,0,1,0.000020000
114,0.7,0,0,0,0.000010000
115,0.73,0,0,0,0.000000000
116,0.77,0,0,0,0.000000000
117,0.81,0,0,0,0.000000000
118,0.85,0,0,0,0.000000000
119,0.89,0,0,0,0.000000000
